file_name,entropy,uncompressed_size,npz_compression_ratio,npz_compressed_image_size,jpg_compression_ratio,jpg_compressed_image_size,entropy_used,mean_used,dim_used
synthetic_0,6.151639364290724,562467,1.546756021702604,363643,4.8356388146186715,116317,7.262,127,433
synthetic_1,6.241151739639405,456300,1.515695067264574,301050,4.695458895440373,97179,7.299,127,390
synthetic_2,6.289725908922895,499392,1.5002117873954957,332881,4.663945832360495,107075,7.319,127,408
synthetic_3,6.1178423001162745,506763,1.5614279419875459,324551,4.817642529161795,105189,7.248,127,411
synthetic_4,6.170644566011206,750000,1.5426639131829887,486172,4.84499253871149,154799,7.269,127,500
synthetic_5,6.282048389007771,499392,1.5040342132606503,332035,4.679065670998511,106729,7.314,127,408
synthetic_6,6.290223423789051,453963,1.5001536626229715,302611,4.606563365703674,98547,7.318,127,389
synthetic_7,6.027149996756569,499392,1.5895496734272947,314172,5.003125751382544,99816,7.211,127,408
synthetic_8,6.504748118429312,599427,1.4350314811711475,417710,4.446952780147631,134795,7.409,127,447
synthetic_9,6.2134189150136265,685452,1.5282324770470386,448526,4.815630291065696,142339,7.287,127,478
synthetic_10,6.2301271952920665,499392,1.520858077365834,328362,4.772340242538918,104643,7.293,127,408
synthetic_11,5.834763989862458,534252,1.6577004824922041,322285,5.258903435377498,101590,7.134,127,422
synthetic_12,6.423469764029947,1436592,1.4646353734963342,980853,4.561159758955048,314962,7.374,127,692
synthetic_13,6.467473619304327,637563,1.4463114196270586,440820,4.494057856599092,141868,7.393,127,461
synthetic_14,6.181667739232291,554700,1.5387773558107085,360481,4.79661720452423,115644,7.273,127,430
synthetic_15,5.964648041443533,562467,1.611237789681744,349090,5.096748763116403,110358,7.186,127,433
synthetic_16,6.151255715922751,433200,1.5503099188341898,279428,4.811301894755547,90038,7.26,127,380
synthetic_17,6.392056679544595,496947,1.4696617051668406,338137,4.602767512295424,107967,7.36,127,407
synthetic_18,6.332200929882718,499392,1.4875607663711754,335712,4.639378681183924,107642,7.335,127,408
synthetic_19,6.188880315792336,3415467,1.5407292359298552,2216786,4.913287654876868,695149,7.276,127,1067
synthetic_20,6.621628238715493,499392,1.3972915500839396,357400,4.2902355629628355,116402,7.462,127,408
synthetic_21,6.553960868072868,735075,1.4223422328688133,516806,4.35654214746724,168729,7.431,127,495
synthetic_22,5.97142103799478,460992,1.6080704912199921,286674,5.075774592059193,90822,7.188,127,392
synthetic_23,6.544811707082696,648675,1.4222334771627025,456096,4.343960945033751,149328,7.427,127,465
synthetic_24,6.235379177549215,562467,1.5198319305024521,370085,4.708412857860372,119460,7.296,127,433
synthetic_25,6.47188636232734,817452,1.4472710920058143,564823,4.435779169334621,184286,7.395,127,522
synthetic_26,6.300669795678403,562467,1.4985892452262137,375331,4.672623052959501,120375,7.322,127,433
synthetic_27,6.494590310050344,494508,1.436696320141314,344198,4.375441297480955,113019,7.404,127,406
synthetic_28,6.564971393198894,562467,1.4160087608881728,397220,4.366403502643284,128817,7.436,127,433
synthetic_29,6.259624674818147,81675,1.4809341625718482,55151,4.312757418946035,18938,7.307,127,165
synthetic_30,6.834472059482165,562467,1.335147658191641,421277,4.004663481734103,140453,7.568,127,433
synthetic_31,6.488426917910578,451632,1.4386529352365358,313927,4.364775011597341,103472,7.401,127,388
synthetic_32,6.34101474955375,562467,1.4856576104469648,378598,4.5622571722890495,123287,7.339,127,433
synthetic_33,5.953250686085814,437772,1.6157108216736114,270947,5.052361882119404,86647,7.182,127,382
synthetic_34,5.972712119414026,562467,1.6090668009303097,349561,5.1029449121788355,110224,7.189,127,433
synthetic_35,6.579000226230641,820587,1.4134307328735505,580564,4.339525955070441,189096,7.442,127,523
synthetic_36,6.511140077641083,562467,1.4322779266019536,392708,4.38246133468386,128345,7.412,127,433
synthetic_37,6.400545976801489,562467,1.4680877720036853,383129,4.506983229032284,124799,7.364,127,433
synthetic_38,6.2503225429458045,499392,1.514424257862608,329757,4.772887576339708,104631,7.301,127,408
synthetic_39,6.050606091025296,562467,1.5811449004031102,355734,5.067544191577923,110994,7.221,127,433
synthetic_40,6.138332632331218,112908,1.5407961353184405,73279,4.5001195695496214,25090,7.258,127,194
synthetic_41,6.3186617825544396,499392,1.4911051792400438,334914,4.649918992904896,107398,7.331,127,408
synthetic_42,5.957642585865002,645888,1.6165426518399495,399549,5.142338497794621,125602,7.183,127,464
synthetic_43,6.078350127029809,480000,1.5721622471439052,305312,4.991161484870542,96170,7.231,127,400
synthetic_44,5.997161022437162,499392,1.5998411025433203,312151,5.029174513338503,99299,7.199,127,408
