entropy,uncompressed_size,uncompressed_height,uncompressed_width,mean_intensity_value,jpg_compressed_image_size,jpg_compression_ratio,npz_compressed_image_size,npz_compression_ratio,file_name
7.477998642831686,561375,375,499,83,218322,2.5713166790337207,528628,1.0619471537640837,rand-9733
7.245970665669517,561375,375,499,91,195706,2.8684608545471266,513615,1.0929879384363774,rand-3578
7.232345001195324,443112,296,499,84,167912,2.638953737672114,404472,1.0955319527680532,rand-11981
7.232731251460615,78501,191,137,72,30519,2.5722009240145485,71871,1.0922486120966732,rand-4571
7.592862059013586,642213,429,499,163,225020,2.8540263087725535,613399,1.0469743185104639,rand-9055
7.060898800471932,408270,439,310,67,164401,2.483379054871929,365521,1.11695360868459,rand-9041
7.631599880698657,387450,450,287,134,135961,2.8497142562940843,372792,1.0393195132942767,rand-2114
7.363903761412816,270126,349,258,114,92081,2.9335693574135817,250956,1.0763878926983217,rand-2672
7.8213224808497035,358800,299,400,122,138961,2.5820194155194622,353022,1.016367251899315,rand-8439
7.494023084734338,511974,342,499,147,175000,2.9255657142857143,484011,1.0577734803547854,rand-11003
7.9132303704431735,501495,335,499,125,189257,2.649809518274093,499716,1.0035600220925485,rand-8411
7.737224801802243,681000,500,454,122,249079,2.734072322435854,663312,1.0266661842390912,rand-9069
7.875912626945601,207360,270,256,120,79428,2.6106662637860705,205876,1.007208222425149,rand-5647
7.303398549415198,603291,499,403,66,208398,2.8948982235913974,555347,1.0863316088859758,rand-4559
7.8384203066450056,452304,349,432,121,170152,2.6582349898913913,445906,1.014348315564267,rand-1421
7.582556790626481,499998,334,499,111,188479,2.6528048217573312,477673,1.0467369937174595,rand-8405
7.568279854609481,544908,499,364,167,192013,2.8378703525282143,519972,1.047956428423069,rand-10309
7.245204736396768,561375,375,499,87,196176,2.8615885735258138,513633,1.092949635245399,rand-7905
7.314927167291565,735027,491,499,141,231059,3.1811225704257353,677925,1.0842305564774863,rand-5874
7.399791454056042,199056,208,319,91,67312,2.957214166864749,185988,1.070262597586941,rand-11956
7.893110032523903,578160,438,440,138,226851,2.548633243847283,574722,1.0059820226126719,rand-7911
7.677956041893489,423756,316,447,142,168479,2.5151858688619946,409819,1.0340076960804647,rand-1390
7.748884140667324,287937,321,299,109,107689,2.6737828376157267,281509,1.0228340834573673,rand-3587
7.478568380712869,585327,499,391,98,228315,2.563681755469417,551944,1.0604825851898019,rand-6399
7.039759255570028,561375,375,499,126,177479,3.1630502763707256,498991,1.1250202909471314,rand-5684
7.536793501879103,105600,200,176,157,37794,2.794094300682648,100453,1.051237892347665,rand-88
7.112231257794723,651000,434,500,59,243644,2.671931178276502,583895,1.1149264850700897,rand-9257
7.450191333101399,374826,349,358,103,140626,2.665410379303969,352471,1.0634236575491316,rand-2302
7.675028090281731,561000,374,500,105,201305,2.786816025434043,542203,1.0346678273635521,rand-4015
7.361798123131455,229680,240,319,85,78157,2.9387003083536984,213503,1.0757694271274876,rand-1179
7.782111427573619,561375,375,499,131,219406,2.558612800014585,550553,1.0196565998187277,rand-10137
7.449568787581133,657000,438,500,120,221927,2.9604329351543526,615629,1.0672011877283234,rand-4767
7.441176436048638,661500,500,441,147,221049,2.992549163307683,620830,1.0655090765588002,rand-5479
7.6120253930175545,445284,399,372,106,152602,2.9179434083432723,426783,1.0433498991290655,rand-11567
7.741788887618682,561000,374,500,146,219285,2.558314522197141,547324,1.0249870277934094,rand-5451
7.287510850333684,607782,406,499,102,203615,2.9849569039609065,559853,1.0856099726178121,rand-7246
6.704822922447313,706584,472,499,141,293268,2.4093457179098983,616387,1.1463317688400307,rand-5337
7.7946524622127225,279864,276,338,122,117874,2.374264044657855,274950,1.0178723404255319,rand-4029
7.804124560654163,498000,332,500,101,186286,2.6733087832687374,489327,1.0177243438436874,rand-8607
6.8672766408685115,561375,375,499,135,212434,2.642585461837559,487136,1.1523989193982789,rand-1623
7.374595208789189,640716,428,499,138,262189,2.443718081231478,601707,1.0648305570651497,rand-3034
7.783130479728247,604788,499,404,140,252763,2.3927077934666072,592522,1.0207013410472523,rand-4968
7.487853315578023,561375,375,499,127,191281,2.9348184085194036,529458,1.0602824020035584,rand-9294
7.464353474497076,375000,250,500,131,134283,2.7926096378543823,352682,1.0632808025359957,rand-3975
7.495599489332344,229680,240,319,132,78270,2.9344576466078958,217185,1.0575315974860142,rand-9280
7.244166807138834,561375,375,499,123,197905,2.8365882620449208,513048,1.0941958647144128,rand-360
7.284663436293132,495114,358,461,106,165479,2.9920050278283044,454555,1.0892279262135496,rand-3785
7.684498429803797,229440,239,320,88,83123,2.76024686308242,222239,1.0324020536449499,rand-6825
7.727925776746835,606150,450,449,121,233859,2.591946429258656,589748,1.0278118789720354,rand-3791
7.868591922979924,561000,374,500,101,219680,2.553714493809177,555693,1.009550237271299,rand-4798
6.893825600107786,561000,374,500,52,205030,2.7361849485441154,490654,1.1433719076987041,rand-374
7.50508583439555,62250,125,166,109,22220,2.8015301530153014,59164,1.0521600973565006,rand-5519
7.036569771765073,561375,375,499,87,165275,3.3966117077597944,498791,1.1254713898205861,rand-4607
7.7974785121796115,293022,223,438,135,106750,2.744936768149883,288235,1.016607976130588,rand-10057
7.900719227426498,355320,280,423,135,133747,2.6566577194254823,353560,1.0049779386808462,rand-8983
7.479445619686061,498000,332,500,112,171738,2.8997659225098698,469489,1.0607277273801943,rand-8997
7.738689161319243,366450,349,350,135,151654,2.4163556516808,357147,1.026048097842065,rand-10043
6.582693643441483,522453,349,499,47,144060,3.626634735526864,434983,1.2010883183940522,rand-8029
7.306711595207238,640716,428,499,140,204912,3.126786132583743,590563,1.084924047053405,rand-5525
7.650594894883681,203841,213,319,131,71908,2.834747176948323,196460,1.0375699888017917,rand-7332
7.498029980029343,303510,335,302,129,100398,3.0230681886093347,286486,1.0594234971342404,rand-6992
7.469318007172618,72369,129,187,84,29354,2.465388022075356,68432,1.0575315641805003,rand-3632
6.473158220681708,675414,478,471,100,178221,3.7897554160284144,556716,1.213211044769685,rand-3626
7.532911259802577,561375,375,499,84,204231,2.7487257076545677,532189,1.0548414191198991,rand-6986
7.567634152503243,561000,374,500,96,194004,2.891692954784437,535453,1.0477110035801462,rand-7326
7.822527007554588,561375,499,375,151,214494,2.617206075694425,552721,1.0156570855820568,rand-10719
